Marca,RazonSocial,NIT,Categoria_BAV,Macrosector_Fin,En_BAV,Monobrand,BavScore_x10,Patron_BAV,Tensity_Diferenciacion,TotalSearch_Relevancia,Brandconomics_Estima,GrowthStrategy_CX,LoyaltyStrategy_Conocimiento,Ingresos2024_COP_T,Ingresos2023_COP_T,TotalActivos2024_COP_T,Ganancia2024_COP_T,TotalPasivos2024_COP_T,Patrimonio2024_COP_T,Fuente,Nota_Cruce,_ratio,Commerce_Ratio,Commerce_KPI,BavPulse_Raw,BavPulse_KPI,eDif_Raw,eRel_Raw,eEst_Raw,eFam_Raw,eDif_KPI,eRel_KPI,eEst_KPI,eFam_KPI,GT_Raw,GT_KPI,Wiki_Raw,Wiki_KPI,Social_Raw,Social_KPI,eDif_Digital_Raw,eDif_Digital_KPI,eRel_Digital_Raw,eRel_Digital_KPI,eEst_Digital_Raw,eEst_Digital_KPI,eFam_Digital_Raw,eFam_Digital_KPI,BAV_Pulse_Digital_KPI,BrandAsset_Raw,BrandAsset_KPI,Paris_Raw,Prefer_gap_CX,Prefer_U_pct,UseReg_U_pct,WNC_nU_pct,Stature_U,Stature_nU,CX_KPI,NPS_Raw,Loyalty_KPI,BX_Score,CO_Score,CX_Score
D1,D1 S.A.S,900276962,Supermercados,COMERCIO,SI,True,89.1,Líder integral,77.4,99.0,80.0,89.6,99.3,19.4393959045,17.4241313934,6.3218164444,0.3732098937,6.1041164398,0.2176999748,Supersociedades – master_top1000_estados_financieros 2024,,3.074969998807832,3.075,88.9,29.4,47.6,77.4,99.0,80.0,99.3,69.6,100.0,67.1,98.7,48.4,47.6,15.0,51.9,24.8,54.3,84.6,77.8,39.0,50.6,40.8,14.8,64.8,43.2,46.6,88.33,93.6,0.0281,0.38,53.3,71.6,1.4,3.779,3.807,0.0,80.34,98.7,70.1,88.9,49.4
Exito,ALMACENES EXITO S A,890900608,Supermercados,COMERCIO,SI,True,81.8,Medio,47.5,85.4,86.2,92.1,98.0,16.0776882172,15.7321834564,13.9042215347,0.0547863208,7.2157101631,6.6885118484,Supersociedades – master_top1000_estados_financieros 2024,,1.156317034871445,1.1563,48.1,30.6,50.0,47.5,85.4,86.2,98.0,43.0,93.7,78.5,97.5,3.1,14.6,35.0,67.9,53.6,96.3,75.5,37.0,23.3,39.5,94.0,86.4,76.2,72.8,58.9,76.51,74.4,-0.0495,0.33,30.4,39.0,5.5,4.014,3.964,88.8,69.27,84.8,66.7,48.1,86.8
Olímpica,SUPERTIENDAS Y DROGUERIAS OLIMPICA S.A,890107487,Supermercados,COMERCIO,SI,True,74.2,Medio,41.6,84.0,73.9,81.8,89.7,7.1291923523,7.8825526237,5.7303638458,0.0636537522,3.4788792133,2.2514848709,Supersociedades – master_top1000_estados_financieros 2024,,1.2441081481283691,1.2441,51.9,27.9,46.3,41.6,84.0,73.9,89.7,35.4,88.6,60.8,77.2,13.8,31.7,35.0,67.9,34.8,76.5,68.5,16.0,22.2,38.3,40.0,11.1,68.8,51.9,29.3,69.37,62.8,0.0107,0.4,21.5,34.6,7.3,3.152,3.163,5.0,48.51,38.0,46.0,51.9,21.5
Jumbo,CENCOSUD COLOMBIA S.A,900155107,Supermercados,COMERCIO,SI,False,85.0,Líder integral,70.8,88.3,85.1,88.6,92.0,4.2128667831,4.4253172874,5.8300085068,-0.3043746948,2.1562745571,3.6737341881,Supersociedades – master_top1000_estados_financieros 2024,Jumbo = sub-marca Cencosud,0.7226176047918628,0.7226,27.2,14.2,28.7,70.8,88.3,85.1,92.0,59.5,97.5,75.9,83.5,35.9,45.1,0.0,29.6,6.8,14.8,72.0,23.5,24.3,43.2,90.0,84.0,62.5,34.6,46.3,83.64,89.7,-0.0154,0.54,25.0,27.3,5.8,3.731,3.716,45.0,71.26,88.6,68.0,27.2,66.8
Cencosud,CENCOSUD COLOMBIA S.A,900155107,Supermercados,COMERCIO,SI,True,40.3,Débil,21.1,41.4,41.3,46.4,51.4,4.2128667831,4.4253172874,5.8300085068,-0.3043746948,2.1562745571,3.6737341881,Supersociedades – master_top1000_estados_financieros 2024,,0.7226176047918628,0.7226,27.2,51.7,75.6,21.1,41.4,41.3,51.4,16.5,25.3,25.3,22.8,83.4,69.5,55.0,81.5,16.8,30.9,70.6,18.5,56.8,66.7,88.0,79.0,73.8,70.4,58.6,36.9,21.8,-0.0149,0.23,11.5,17.4,19.8,1.705,1.691,42.5,29.06,7.6,40.2,27.2,25.1
Metro,CENCOSUD COLOMBIA S.A,900155107,Supermercados,COMERCIO,SI,False,63.6,Medio,43.1,69.1,70.8,68.6,66.5,4.2128667831,4.4253172874,5.8300085068,-0.3043746948,2.1562745571,3.6737341881,Supersociedades – master_top1000_estados_financieros 2024,Metro = sub-marca Cencosud,0.7226176047918628,0.7226,27.2,6.6,14.6,43.1,69.1,70.8,66.5,36.7,57.0,58.2,36.7,1.9,6.7,0.0,29.6,18.0,33.3,61.5,2.5,8.3,18.5,84.0,74.1,55.0,12.3,26.8,61.19,51.3,-0.0562,0.5,14.0,17.6,9.0,2.687,2.631,92.5,48.24,36.7,39.0,27.2,64.6
Carulla,ALMACENES EXITO S A,890900608,Supermercados,COMERCIO,SI,False,62.0,Erosión activa,13.3,75.2,67.3,73.8,80.3,16.0776882172,15.7321834564,13.9042215347,0.0547863208,7.2157101631,6.6885118484,Supersociedades – master_top1000_estados_financieros 2024,Carulla = sub-marca Grupo Éxito,1.156317034871445,1.1563,48.1,8.5,23.2,13.3,75.2,67.3,80.3,8.9,75.9,54.4,59.5,3.8,22.6,1.6,38.3,20.0,49.4,75.5,37.0,10.3,27.2,70.8,50.6,61.4,30.9,36.4,48.22,33.3,0.0213,0.4,16.6,21.5,10.4,2.767,2.789,2.5,37.95,16.5,34.8,48.1,9.5
OXXO,CADENA COMERCIAL OXXO COLOMBIA SAS,900236520,Supermercados,COMERCIO,SI,True,59.0,Fuerza sin entrega,79.8,62.8,34.6,50.8,67.1,1.0210893154,0.6674016118,1.0332560539,-0.1316208243,0.9675416946,0.0657143667,Supersociedades – master_top1000_estados_financieros 2024,,0.9882248563131308,0.9882,43.2,57.6,82.9,79.8,62.8,34.6,67.1,73.4,44.3,17.7,39.2,100.0,86.0,50.0,77.8,22.8,50.6,87.4,86.4,69.1,75.3,77.2,59.3,81.5,80.2,75.3,58.4,48.7,-0.0426,0.24,13.9,21.5,10.3,1.835,1.793,82.5,37.75,15.2,62.0,43.2,48.9
Makro,MAKRO SUPERMAYORISTA SAS,900059238,Supermercados,COMERCIO,SI,True,56.6,Erosión activa,28.1,74.3,47.3,60.2,73.2,1.7657043934,1.7671205997,1.7091858387,-0.0531839207,0.8368558884,0.8723299503,Supersociedades – master_top1000_estados_financieros 2024,,1.0330675304114314,1.0331,44.4,35.0,56.1,28.1,74.3,47.3,73.2,21.5,74.7,32.9,49.4,29.7,40.2,50.0,77.8,25.2,55.6,79.0,50.6,27.9,46.9,57.0,34.6,75.0,71.6,50.9,51.85,39.7,0.0093,0.4,16.2,16.8,11.2,2.159,2.168,6.2,37.29,13.9,45.3,44.4,10.1
Falabella,FALABELLA DE COLOMBIA S.A.,900017447,Retail Moda,COMERCIO,SI,True,90.5,Líder integral,95.1,83.9,87.1,91.2,95.2,2.3075606823,2.241089344,1.7174608707,0.0134313898,1.3714528084,0.3460081816,Supersociedades – master_top1000_estados_financieros 2024,,1.3435885042082432,1.3436,65.4,70.2,87.8,95.1,83.9,87.1,95.2,97.5,87.3,81.0,88.6,100.0,86.0,55.0,81.5,55.6,97.5,80.4,63.0,82.2,97.5,76.0,58.0,81.2,79.0,74.4,90.19,97.4,-0.0591,0.79,34.6,35.5,10.3,3.89,3.831,93.8,68.98,83.5,85.9,65.4,88.7
