Marca,RazonSocial,Categoria_BAV,Macrosector_Fin,Tensity_Diferenciacion,TotalSearch_Relevancia,Brandconomics_Estima,GrowthStrategy_CX,LoyaltyStrategy_Conocimiento,BavScore_x10,Patron_BAV,Ingresos2024_COP_Trillones,Ingresos2023_COP_Trillones,Crecimiento_Ingresos_Pct,Ganancia2024_COP_Trillones,Margen_Neto_Pct,ROE_Pct,Apalancamiento_Pas_Pat,TotalActivos2024_COP_Trillones,Patrimonio2024_COP_Trillones,Patrimonio2023_COP_Trillones,Nota_Comparabilidad,BVC_Ticker,BVC_Precio_COP,BVC_Variacion_Pct,BVC_Variacion_Abs,BVC_Apertura,BVC_Maximo,BVC_Minimo,BVC_Volumen,BVC_PrecioAyer_COP,IV_USD_Billions,IV_COP_Trillones,IV_Revenue_Multiple,Pct_Intangible
D1,D1 S.A.S,Supermercados,COMERCIO,77.4,99.0,80.0,89.6,99.3,89.1,Líder integral,19.4393959045,17.4241313934,11.6,0.3732098937,1.9,171.4,28.04,6.3218164444,0.2176999748,0.1753620654,,,,,,,,,,,5.8805,24.6981,1.27,99.1
Ara,JERONIMO MARTINS COLOMBIA SAS,Supermercados,COMERCIO,90.8,92.8,77.7,85.2,92.8,87.8,Líder integral,13.8311824799,12.3520708084,12.0,-0.6012966633,-4.3,-1335.8,181.23,8.2032442093,0.0450154617,0.1261432022,,,,,,,,,,,5.4096,22.7203,1.64,99.8
Exito,ALMACENES EXITO S A,Supermercados,COMERCIO,47.5,85.4,86.2,92.1,98.0,81.8,Medio,16.0776882172,15.7321834564,2.2,0.0547863208,0.3,0.8,1.08,13.9042215347,6.6885118484,6.1006770134,,EXITO.CL,4860.0,2.75,130.0,4885.0,4885.0,4800.0,81404,4730.0,2.944,12.3649,0.77,64.9
Olímpica,SUPERTIENDAS Y DROGUERIAS OLIMPICA S.A,Supermercados,COMERCIO,41.6,84.0,73.9,81.8,89.7,74.2,Medio,7.1291923523,7.8825526237,-9.6,0.0636537522,0.9,2.8,1.55,5.7303638458,2.2514848709,2.0888643265,,,,,,,,,,,1.428,5.9975,0.84,72.7
OXXO,CADENA COMERCIAL OXXO COLOMBIA SAS,Supermercados,COMERCIO,79.8,62.8,34.6,50.8,67.1,59.0,Fuerza sin entrega,1.0210893154,0.6674016118,53.0,-0.1316208243,-12.9,-200.3,14.72,1.0332560539,0.0657143667,0.1873860359,,,,,,,,,,,0.5477,2.3003,2.25,97.2
Makro,MAKRO SUPERMAYORISTA SAS,Supermercados,COMERCIO,28.1,74.3,47.3,60.2,73.2,56.6,Erosión activa,1.7657043934,1.7671205997,-0.1,-0.0531839207,-3.0,-6.1,0.96,1.7091858387,0.8723299503,0.5892834067,,,,,,,,,,,0.4105,1.724,0.98,66.4
Cencosud,CENCOSUD COLOMBIA S.A,Supermercados,COMERCIO,21.1,41.4,41.3,46.4,51.4,40.3,Débil,4.2128667831,4.4253172874,-4.8,-0.3043746948,-7.2,-8.3,0.59,5.8300085068,3.6737341881,3.9781088829,,,,,,,,,,,1.1426,4.799,1.14,56.6
Falabella,FALABELLA DE COLOMBIA S.A.,Retail Moda,COMERCIO,95.1,83.9,87.1,91.2,95.2,90.5,Líder integral,2.3075606823,2.241089344,3.0,0.0134313898,0.6,3.9,3.96,1.7174608707,0.3460081816,0.3297658265,,,,,,,,,,,0.7895,3.3161,1.44,90.6
Movistar,COLOMBIA TELECOMUNICACIONES S.A. E.S.P. - telefonica,Telecomunicaciones,SERVICIOS,30.6,51.9,49.2,71.2,93.2,59.2,Débil,6.6721792221,7.1184382439,-6.3,-0.4669573307,-7.0,-13.3,3.11,14.4863471985,3.5228347778,3.9875962734,,,,,,,,,,,1.1587,4.8666,0.73,58.0
Avianca,AEROVIAS DEL CONTINENTE AMERICANO S.A. AVIANCA,Aerolíneas,SERVICIOS,39.6,70.3,81.3,88.8,96.2,75.2,Débil,15.1060428619,27.1505146027,-44.4,1.0980516672,7.3,-437.8,-92.52,22.9524860382,-0.2507988811,-1.1068842411,,,,,,,,,,,2.4849,10.4368,0.69,102.5
Arturo Calle,COMERCIALIZADORA ARTURO CALLE SAS,Retail Moda,COMERCIO,86.5,72.8,92.2,88.6,85.0,85.0,Medio,0.6383805275,0.6182851195,3.3,0.0227825996,3.6,11.9,0.82,0.3500554264,0.1921622753,0.1840175092,,,,,,,,,,,0.197,0.8272,1.3,81.1
Postobón,POSTOBON S.A.,Bebidas,MANUFACTURA,77.8,76.5,89.7,93.2,96.7,86.8,Medio,2.8467004299,2.9373836517,-3.1,0.0440745801,1.5,2.8,1.18,3.3808317184,1.5519256592,1.5057560205,,,,,,,,,,,0.7201,3.0246,1.06,66.1
Aguila,CERVECERIA DEL VALLE SAS,Cervezas,MANUFACTURA,70.5,54.6,59.9,74.7,89.5,69.9,Medio,1.5268064737,1.3524198532,12.9,0.4532254934,29.7,55.7,1.15,1.7506835461,0.8137826324,0.7361881733,,,,,,,,,,,0.4326,1.8169,1.19,69.1
Renault,RENAULT SOCIEDAD DE FABRICACION DE AUTOMOTORES S.A.S,Automóviles,MANUFACTURA,67.0,81.9,92.5,90.6,88.7,84.2,Medio,2.4260392189,2.8191800117,-13.9,-0.0771251917,-3.2,-45.0,5.92,1.1846613884,0.1712975949,0.0461678989,,,,,,,,,,,0.5862,2.462,1.01,93.5
Hyundai,HYUNDAI COLOMBIA S.A.S.,Automóviles,COMERCIO,71.1,59.8,71.7,71.5,71.3,69.1,Medio,0.6357067227,0.4198328555,51.4,0.0102637904,1.6,11.7,1.14,0.1882155538,0.0878234878,0.0965856835,,,,,,,,,,,0.2116,0.8886,1.4,91.0
Toyota,AUTOMOTORES TOYOTA COLOMBIA SAS,Automóviles,COMERCIO,92.7,85.3,98.6,92.2,85.8,90.9,Líder integral,4.0282301903,4.1632552147,-3.2,0.3522085547,8.7,99.2,1.76,0.9784473181,0.355137825,0.2585353255,,,,,,,,,,,1.4265,5.9912,1.49,94.4
Mazda,MAZDA DE COLOMBIA SAS,Automóviles,COMERCIO,84.9,70.5,88.1,81.5,74.8,80.0,Medio,1.8691416979,1.9212305546,-2.7,0.0655993074,3.5,20.0,0.89,0.6185621619,0.3274518251,0.3097456992,,,,,,,,,,,0.6887,2.8924,1.55,89.8
Chevrolet,GENERAL MOTORS - COLMOTORES S.A.,Automóviles,MANUFACTURA,25.0,75.5,87.5,89.0,90.4,73.5,Erosión activa,1.2123627663,2.5712044239,-52.8,-0.769318223,-63.5,197.7,-4.48,1.3553904295,-0.3892291784,0.4994446933,,,,,,,,,,,0.1577,0.6623,0.55,242.5
Rappi,Rappi SAS,E-commerce,SERVICIOS,93.8,78.3,64.3,77.5,90.8,80.9,Medio,0.7031469941,0.5532477498,27.1,0.0972503498,13.8,50.7,3.13,0.7924762368,0.1917288452,0.055622071,,,,,,,,,,,0.2784,1.1695,1.66,85.9
Sura,GRUPO DE INVERSIONES SURAMERICANA S.A.,Seguros,SERVICIOS,60.0,83.8,96.8,89.3,81.7,82.3,Medio,1.2451349497,1.2193889618,2.1,5.3317761421,,24.9,0.44,30.9646911621,21.4322128296,25.6858482361,"Holding - Ganancia incluye metodo de participacion en filiales, Margen Neto no es comparable; usar ROE como metrica principal",GRUPOSURA.CL,57500.0,3.42,1900.0,55700.0,58100.0,55700.0,92607,55600.0,0.2865,1.2035,0.97,5.3
Seguros Bolivar,GRUPO BOLIVAR S. A.,Seguros,SERVICIOS,10.5,52.8,88.8,75.4,62.0,57.9,Débil,1.576099515,1.0913519859,44.4,1.799429059,,12.0,0.11,16.6380805969,14.9548711777,14.1092796326,"Holding - Ganancia incluye metodo de participacion en filiales, Margen Neto no es comparable; usar ROE como metrica principal",,,,,,,,,,0.2269,0.9529,0.6,6.0
Terpel,ORGANIZACIÓN TERPEL S.A.,Combustibles,COMERCIO,50.7,70.7,84.6,82.6,80.6,73.8,Medio,24.7520122528,23.0482845306,7.4,0.5307559371,2.1,15.8,1.38,7.9712119102,3.349386692,2.7510445118,,TERPEL.CL,18720.0,1.41,260.0,18060.0,18960.0,18060.0,15161,18460.0,5.8496,24.5683,0.99,88.0
Primax,PRIMAX COLOMBIA S.A.,Combustibles,COMERCIO,7.2,37.5,50.0,49.5,48.9,38.6,Débil,10.5211191177,9.0453796387,16.3,0.1587905288,1.5,28.6,2.68,2.0426442623,0.5543561578,0.5451110005,,,,,,,,,,,2.3206,9.7465,0.93,94.6
Biomax,BIOMAX BIOCOMBUSTIBLES S.A.,Combustibles,COMERCIO,15.5,32.5,30.9,34.3,37.6,30.1,Crítico,4.512550354,3.7636322975,19.9,0.104735069,2.3,18.3,1.82,1.6102186441,0.5710121393,0.544033289,,,,,,,,,,,1.4311,6.0107,1.33,91.3
Farmatodo,FARMATODO COLOMBIA SA,Farmacias,COMERCIO,53.0,87.2,88.9,88.6,88.3,81.2,Medio,1.5713480711,1.2436776161,26.3,0.0195559599,1.2,12.2,5.37,1.0193240643,0.1599938571,0.1404378861,,,,,,,,,,,0.3239,1.3603,0.87,89.5
Cruz Verde,DROGUERIAS Y FARMACIAS CRUZ VERDE SAS,Farmacias,COMERCIO,44.4,84.1,79.7,82.2,84.7,75.0,Medio,5.5116462708,5.1494660378,7.0,0.0558912382,1.0,8.0,4.91,4.145775795,0.7013709545,0.644385159,,,,,,,,,,,1.1682,4.9064,0.89,87.5
Frisby,FRISBY S.A. BIC,Restaurantes QSR,SERVICIOS,97.3,95.2,98.0,97.6,97.3,97.1,Líder integral,0.9699328542,0.8532492518,13.7,0.0630318001,6.5,36.4,2.77,0.6527582407,0.173189953,0.1101581603,,,,,,,,,,,0.3104,1.3038,1.34,88.3
Decameron,HOTELES DECAMERON COLMBIA S.A.S SIGLA HODECOL S.A.S.,Hoteles,SERVICIOS,71.5,69.5,80.0,68.3,56.5,69.2,Medio,0.518717885,0.4810305536,7.8,0.0038914401,0.8,0.5,3.42,3.2841639519,0.743398726,0.5708953142,,,,,,,,,,,0.2064,0.8667,1.67,53.8
H&M,H&M HENNES & MAURITZ COLOMBIA SAS,Retail Moda,COMERCIO,82.5,67.4,18.2,40.2,62.1,54.1,Fuerza sin entrega,0.8170516491,0.7057403326,15.8,0.0304683391,3.7,7.9,0.77,0.6793109179,0.3847067356,0.2542383969,,,,,,,,,,,0.5563,2.3365,2.86,85.9
Tigo,Colombia Movil S A E S P,Telecomunicaciones,SERVICIOS,32.0,44.3,40.7,66.7,92.6,55.3,Débil,2.9561576843,2.6959371567,9.7,0.3631399274,12.3,91.2,13.24,5.6678705215,0.3981510699,0.0495959409,,,,,,,,,,,0.532,2.2345,0.76,84.9
Tigo UNE,UNE EPM TELECOMUNICACIONES S.A.,Telecomunicaciones,SERVICIOS,38.2,37.3,49.4,63.8,78.2,53.4,Débil,2.6332006454,2.7929849625,-5.7,0.0149472402,0.6,3.7,11.4,4.9604849815,0.3998942375,0.3587320149,,,,,,,,,,,0.5726,2.405,0.91,85.7
WOM,PARTNERS TELECOM COLOMBIA SAS,Telecomunicaciones,SERVICIOS,37.4,11.5,4.0,31.6,59.2,28.7,Crítico,0.8705090284,0.8736749887,-0.4,-1.3426909447,-154.2,86.2,-3.81,4.3710150719,-1.5568840504,-0.2141930014,,,,,,,,,,,0.2964,1.2447,1.43,
McDonald's,|ARCOS DORADOS COLOMBIA SAS,Restaurantes QSR,SERVICIOS,75.1,55.2,65.3,78.1,90.9,72.9,Medio,0.7574146986,0.6755391359,12.1,0.00013782,0.0,0.1,3.49,0.5542196631,0.1234970391,0.00178112,,,,,,,,,,,0.2109,0.8858,1.17,87.8
